Stock,Last Close,Pattern Description,Start,End,Breakout,Breakout Date,Approx. Breakout Price,Fill Price,Avg 3 Mo. Volume,Ultimate High/Low,Ultimate H/L Date,Approx. Target,Volatility Stop,Trade Status,Pattern Width (days/price bars),Height,Stage
CROMPTON.txt,292.85,Broadening bottom (BB),04/11/2022,04/25/2022,Down,05/06/2022,365.6,360.4,"2,045,113",312,06/17/2022,344.3 or -6%,392.8 or 5%,Target (344.3) reached on 05/10/2022,15,Short,
CUPID.txt,260.35,Broadening bottom (BB),06/02/2017,07/03/2017,Up,07/18/2017,296,311.05,"43,127",319.95,07/20/2017,321 or 8%,260.15 or -6%,Stop (260.15) triggered on 09/25/2017,32,Short,
CUPID.txt,260.35,Broadening bottom (BB),10/16/2020,11/05/2020,Down,11/09/2020,202,194.9,"116,530",190.25,11/10/2020,187 or -7%,223.6 or 6%,Stop (223.6) triggered on 11/17/2020,21,Short,
CYIENT.txt,1496.65,Broadening bottom (BB),03/14/2007,07/25/2007,Down,08/01/2007,164.5,162.5,"174,012",125.03,08/22/2007,124 or -25%,188.52 or 9%,Target (124) reached on 01/22/2008,134,Tall,
DABUR.txt,572.1,Broadening bottom (BB),11/19/2020,01/04/2021,Up,01/11/2021,544,549,"4,016,544",658.95,09/24/2021,595.45 or 9%,514.22 or -4%,Stop (514.22) triggered on 01/29/2021,47,Short,
DABUR.txt,572.1,Broadening bottom (BB),02/03/2023,06/16/2023,None yet,,,0,"2,175,248",,,,553.69 or -3%,Open,134,Tall,
DATAMATICS.txt,574.15,Broadening bottom (BB),10/12/2010,12/02/2010,Down,12/09/2010,29.65,29.65,"38,779",28.5,12/09/2010,19.1 or -36%,40.62 or 16%,Stop (40.62) triggered on 01/13/2014,52,Tall,
DBCORP.txt,137.85,Broadening bottom (BB),08/23/2017,10/06/2017,Down,10/25/2017,362.85,362.85,"52,145",290.25,03/23/2018,340.7 or -6%,387.48 or 5%,Target (340.7) reached on 12/14/2017,45,Short,
DBSTOCKBRO.txt,24.75,Broadening bottom (BB),06/06/2013,07/16/2013,Down,07/25/2013,95.65,95.65,"60,599",94.55,09/12/2013,92.4 or -3%,96.42 or 1%,Stop (96.42) triggered on 09/06/2013,41,Short,
DECCANCE.txt,524.1,Broadening bottom (BB),07/02/2018,08/23/2018,Down,09/24/2018,400.25,389.85,"4,986",342.35,10/26/2018,325.6 or -19%,462.73 or 8%,Stop (462.73) triggered on 05/27/2019,53,Tall,
DECCANCE.txt,524.1,Broadening bottom (BB),01/22/2019,03/06/2019,Up,03/11/2019,427.8,450,"5,865",457.05,03/12/2019,519.6 or 21%,367.38 or -11%,Stop (367.38) triggered on 05/15/2019,44,Tall,
